x	y
-10	0.126875904
-9.95	0.077588689
-9.9	0.031188974
-9.85	-0.011895206
-9.8	-0.051265646
-9.75	-0.086557867
-9.7	-0.117444691
-9.65	-0.143639442
-9.6	-0.164898757
-9.55	-0.181024972
-9.5	-0.19186806
-9.45	-0.197327101
-9.4	-0.197351274
-9.35	-0.191940354
-9.3	-0.181144714
-9.25	-0.165064833
-9.2	-0.143850307
-9.15	-0.117698386
-9.1	-0.086852035
-9.05	-0.051597558
-9	-0.012261789
-8.95	0.030791113
-8.9	0.077163225
-8.85	0.126426756
-8.8	0.178128237
-8.75	0.231792952
-8.7	0.286929575
-8.65	0.34303497
-8.6	0.399599097
-8.55	0.456109982
-8.5	0.512058701
-8.45	0.566944324
-8.4	0.620278775
-8.35	0.671591559
-8.3	0.720434306
-8.25	0.76638509
-8.2	0.809052483
-8.15	0.848079291
-8.1	0.883145955
-8.05	0.913973564
-8	0.940326469
-7.95	0.962014449
-7.9	0.978894435
-7.85	0.990871754
-7.8	0.997900888
-7.75	0.999985745
-7.7	0.997179436
-7.65	0.989583557
-7.6	0.97734699
-7.55	0.960664236
-7.5	0.939773287
-7.45	0.914953074
-7.4	0.886520502
-7.35	0.854827111
-7.3	0.820255395
-7.25	0.78321482
-7.2	0.744137565
-7.15	0.703474057
-7.1	0.661688312
-7.05	0.619253162
-7	0.576645388
-6.95	0.534340826
-6.9	0.492809486
-6.85	0.452510739
-6.8	0.413888616
-6.75	0.377367265
-6.7	0.343346622
-6.65	0.312198324
-6.6	0.28426192
-6.55	0.259841403
-6.5	0.239202113
-6.45	0.222568033
-6.4	0.210119506
-6.35	0.201991396
-6.3	0.198271717
-6.25	0.199000737
-6.2	0.204170563
-6.15	0.213725227
-6.1	0.227561253
-6.05	0.245528713
-6	0.26743275
-5.95	0.29303557
-5.9	0.322058858
-5.85	0.35418662
-5.8	0.389068404
-5.75	0.426322875
-5.7	0.465541707
-5.65	0.506293752
-5.6	0.548129449
-5.55	0.590585421
-5.5	0.633189214
-5.45	0.675464145
-5.4	0.716934187
-5.35	0.757128862
-5.3	0.795588082
-5.25	0.831866891
-5.2	0.865540062
-5.15	0.896206507
-5.1	0.92349344
-5.05	0.947060271
-5	0.96660218
-4.95	0.981853332
-4.9	0.992589713
-4.85	0.998631547
-4.8	0.999845272
-4.75	0.996145058
-4.7	0.98749385
-4.65	0.973903921
-4.6	0.955436936
-4.55	0.932203523
-4.5	0.904362348
-4.45	0.872118717
-4.4	0.835722706
-4.35	0.795466841
-4.3	0.751683356
-4.25	0.704741043
-4.2	0.655041745
-4.15	0.603016506
-4.1	0.549121427
-4.05	0.493833269
-4	0.437644844
-3.95	0.381060241
-3.9	0.32458993
-3.85	0.268745799
-3.8	0.214036175
-3.75	0.160960861
-3.7	0.110006267
-3.65	0.061640655
-3.6	0.016309564
-3.55	-0.025568549
-3.5	-0.063606401
-3.45	-0.097451676
-3.4	-0.126790479
-3.35	-0.151350406
-3.3	-0.170903218
-3.25	-0.185267077
-3.2	-0.194308331
-3.15	-0.197942822
-3.1	-0.196136711
-3.05	-0.188906816
-3	-0.176320438
-2.95	-0.158494709
-2.9	-0.135595437
-2.85	-0.107835485
-2.8	-0.075472681
-2.75	-0.03880729
-2.7	0.001820924
-2.65	0.046036032
-2.6	0.093429618
-2.55	0.143564774
-2.5	0.19598038
-2.45	0.250195608
-2.4	0.305714619
-2.35	0.362031402
-2.3	0.418634712
-2.25	0.475013045
-2.2	0.530659615
-2.15	0.58507728
-2.1	0.637783356
-2.05	0.688314292
-2	0.736230142
-1.95	0.781118798
-1.9	0.822599943
-1.85	0.86032868
-1.8	0.893998801
-1.75	0.923345676
-1.7	0.94814871
-1.65	0.968233373
-1.6	0.983472756
-1.55	0.993788654
-1.5	0.999152167
-1.45	0.999583798
-1.4	0.995153068
-1.35	0.985977632
-1.3	0.972221923
-1.25	0.954095327
-1.2	0.93184991
-1.15	0.905777722
-1.1	0.876207706
-1.05	0.843502239
-1	0.808053346
-0.95	0.770278615
-0.9	0.730616872
-0.85	0.68952364
-0.8	0.647466439
-0.75	0.604919973
-0.7	0.562361253
-0.65	0.520264698
-0.6	0.479097273
-0.55	0.439313707
-0.5	0.401351841
-0.45	0.365628155
-0.4	0.332533509
-0.35	0.302429157
-0.3	0.27564306
-0.25	0.252466538
-0.2	0.233151306
-0.15	0.217906902
-0.1	0.206898559
-0.05	0.200245514
0	0.198019802
0.05	0.200245514
0.1	0.206898559
0.15	0.217906902
0.2	0.233151306
0.25	0.252466538
0.3	0.27564306
0.35	0.302429157
0.4	0.332533509
0.45	0.365628155
0.5	0.401351841
0.55	0.439313707
0.6	0.479097273
0.65	0.520264698
0.7	0.562361253
0.75	0.604919973
0.8	0.647466439
0.85	0.68952364
0.9	0.730616872
0.95	0.770278615
1	0.808053346
1.05	0.843502239
1.1	0.876207706
1.15	0.905777722
1.2	0.93184991
1.25	0.954095327
1.3	0.972221923
1.35	0.985977632
1.4	0.995153068
1.45	0.999583798
1.5	0.999152167
1.55	0.993788654
1.6	0.983472756
1.65	0.968233373
1.7	0.94814871
1.75	0.923345676
1.8	0.893998801
1.85	0.86032868
1.9	0.822599943
1.95	0.781118798
2	0.736230142
2.05	0.688314292
2.1	0.637783356
2.15	0.58507728
2.2	0.530659615
2.25	0.475013045
2.3	0.418634712
2.35	0.362031402
2.4	0.305714619
2.45	0.250195608
2.5	0.19598038
2.55	0.143564774
2.6	0.093429618
2.65	0.046036032
2.7	0.001820924
2.75	-0.03880729
2.8	-0.075472681
2.85	-0.107835485
2.9	-0.135595437
2.95	-0.158494709
3	-0.176320438
3.05	-0.188906816
3.1	-0.196136711
3.15	-0.197942822
3.2	-0.194308331
3.25	-0.185267077
3.3	-0.170903218
3.35	-0.151350406
3.4	-0.126790479
3.45	-0.097451676
3.5	-0.063606401
3.55	-0.025568549
3.6	0.016309564
3.65	0.061640655
3.7	0.110006267
3.75	0.160960861
3.8	0.214036175
3.85	0.268745799
3.9	0.32458993
3.95	0.381060241
4	0.437644844
4.05	0.493833269
4.1	0.549121427
4.15	0.603016506
4.2	0.655041745
4.25	0.704741043
4.3	0.751683356
4.35	0.795466841
4.4	0.835722706
4.45	0.872118717
4.5	0.904362348
4.55	0.932203523
4.6	0.955436936
4.65	0.973903921
4.7	0.98749385
4.75	0.996145058
4.8	0.999845272
4.85	0.998631547
4.9	0.992589713
4.95	0.981853332
5	0.96660218
5.05	0.947060271
5.1	0.92349344
5.15	0.896206507
5.2	0.865540062
5.25	0.831866891
5.3	0.795588082
5.35	0.757128862
5.4	0.716934187
5.45	0.675464145
5.5	0.633189214
5.55	0.590585421
5.6	0.548129449
5.65	0.506293752
5.7	0.465541707
5.75	0.426322875
5.8	0.389068404
5.85	0.35418662
5.9	0.322058858
5.95	0.29303557
6	0.26743275
6.05	0.245528713
6.1	0.227561253
6.15	0.213725227
6.2	0.204170563
6.25	0.199000737
6.3	0.198271717
6.35	0.201991396
6.4	0.210119506
6.45	0.222568033
6.5	0.239202113
6.55	0.259841403
6.6	0.28426192
6.65	0.312198324
6.7	0.343346622
6.75	0.377367265
6.8	0.413888616
6.85	0.452510739
6.9	0.492809486
6.95	0.534340826
7	0.576645388
7.05	0.619253162
7.1	0.661688312
7.15	0.703474057
7.2	0.744137565
7.25	0.78321482
7.3	0.820255395
7.35	0.854827111
7.4	0.886520502
7.45	0.914953074
7.5	0.939773287
7.55	0.960664236
7.6	0.97734699
7.65	0.989583557
7.7	0.997179436
7.75	0.999985745
7.8	0.997900888
7.85	0.990871754
7.9	0.978894435
7.95	0.962014449
8	0.940326469
8.05	0.913973564
8.1	0.883145955
8.15	0.848079291
8.2	0.809052483
8.25	0.76638509
8.3	0.720434306
